1	3703.757202975451946
15371	818.101241824576391
30173	739.551027128789428
45211	726.657133395404799
60347	725.471993722004299
75012	674.959680290841789
90325	674.959680290841789
105244	670.789915142434438
120335	654.910779149433893
135291	633.597085746037465
150102	614.606112936223326
165172	576.116017778755577
180198	519.647673436520563
195023	519.303370390843156
210105	519.303315792605645
225086	519.303315789278713
240040	519.303315789278713
255042	519.303315789278713
270020	519.303315789278713
285017	519.303315789278258
300000	519.303315789278258
